nohup: ignoring input
/home/23ucs622/miniconda3/envs/bit_env/lib/python3.9/site-packages/torch/nn/modules/transformer.py:385: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Device: cuda
Train samples: 7120, Val samples: 1024
✅ Loaded pretrained ResNet34 backbone
🚀 Starting training...
Ep 049 | TrLoss 0.3578 | ValLoss 0.3662 | IoU 0.5778 | F1 0.7324 | Preds: [0 1]
Ep 050 | TrLoss 0.3496 | ValLoss 0.3450 | IoU 0.5867 | F1 0.7395 | Preds: [0 1]
Ep 051 | TrLoss 0.3417 | ValLoss 0.3301 | IoU 0.5666 | F1 0.7234 | Preds: [0 1]
Ep 052 | TrLoss 0.3253 | ValLoss 0.3226 | IoU 0.5876 | F1 0.7402 | Preds: [0 1]
Ep 053 | TrLoss 0.3281 | ValLoss 0.3092 | IoU 0.5913 | F1 0.7432 | Preds: [0 1]
Ep 054 | TrLoss 0.3257 | ValLoss 0.3450 | IoU 0.5685 | F1 0.7249 | Preds: [0 1]
Ep 055 | TrLoss 0.3414 | ValLoss 0.3779 | IoU 0.5467 | F1 0.7069 | Preds: [0 1]
Ep 056 | TrLoss 0.3262 | ValLoss 0.3070 | IoU 0.6078 | F1 0.7561 | Preds: [0 1]
Ep 057 | TrLoss 0.3583 | ValLoss 0.3953 | IoU 0.5337 | F1 0.6960 | Preds: [0 1]
Ep 058 | TrLoss 0.3730 | ValLoss 0.3810 | IoU 0.4878 | F1 0.6557 | Preds: [0 1]
Ep 059 | TrLoss 0.3300 | ValLoss 0.3509 | IoU 0.5803 | F1 0.7344 | Preds: [0 1]
Ep 060 | TrLoss 0.3047 | ValLoss 0.3413 | IoU 0.5662 | F1 0.7230 | Preds: [0 1]
Ep 061 | TrLoss 0.3336 | ValLoss 0.3189 | IoU 0.5906 | F1 0.7426 | Preds: [0 1]
Ep 062 | TrLoss 0.3159 | ValLoss 0.3138 | IoU 0.6116 | F1 0.7590 | Preds: [0 1]
Ep 063 | TrLoss 0.3138 | ValLoss 0.3381 | IoU 0.5700 | F1 0.7261 | Preds: [0 1]
Ep 064 | TrLoss 0.3033 | ValLoss 0.3322 | IoU 0.5678 | F1 0.7243 | Preds: [0 1]
Ep 065 | TrLoss 0.3079 | ValLoss 0.2827 | IoU 0.6195 | F1 0.7651 | Preds: [0 1]
✅ Saved best model
Ep 066 | TrLoss 0.3210 | ValLoss 0.2989 | IoU 0.5852 | F1 0.7384 | Preds: [0 1]
Ep 067 | TrLoss 0.3184 | ValLoss 0.3630 | IoU 0.5460 | F1 0.7064 | Preds: [0 1]
Ep 068 | TrLoss 0.3188 | ValLoss 0.3321 | IoU 0.5888 | F1 0.7412 | Preds: [0 1]
Ep 069 | TrLoss 0.3126 | ValLoss 0.3180 | IoU 0.5869 | F1 0.7397 | Preds: [0 1]
Ep 070 | TrLoss 0.3085 | ValLoss 0.3001 | IoU 0.6146 | F1 0.7613 | Preds: [0 1]
Ep 071 | TrLoss 0.3040 | ValLoss 0.3298 | IoU 0.5790 | F1 0.7334 | Preds: [0 1]
Ep 072 | TrLoss 0.3276 | ValLoss 0.3127 | IoU 0.5845 | F1 0.7378 | Preds: [0 1]
Ep 073 | TrLoss 0.3093 | ValLoss 0.3034 | IoU 0.6132 | F1 0.7602 | Preds: [0 1]
Ep 074 | TrLoss 0.3272 | ValLoss 0.3385 | IoU 0.5494 | F1 0.7091 | Preds: [0 1]
Ep 075 | TrLoss 0.3169 | ValLoss 0.3282 | IoU 0.5794 | F1 0.7337 | Preds: [0 1]
Ep 076 | TrLoss 0.3059 | ValLoss 0.3245 | IoU 0.5843 | F1 0.7376 | Preds: [0 1]
Ep 077 | TrLoss 0.3198 | ValLoss 0.3435 | IoU 0.5922 | F1 0.7439 | Preds: [0 1]
Ep 078 | TrLoss 0.3229 | ValLoss 0.3103 | IoU 0.5938 | F1 0.7451 | Preds: [0 1]
Ep 079 | TrLoss 0.3021 | ValLoss 0.3213 | IoU 0.5861 | F1 0.7391 | Preds: [0 1]
Ep 080 | TrLoss 0.3120 | ValLoss 0.3362 | IoU 0.5854 | F1 0.7385 | Preds: [0 1]
Ep 081 | TrLoss 0.3004 | ValLoss 0.3403 | IoU 0.5680 | F1 0.7245 | Preds: [0 1]
Ep 082 | TrLoss 0.3021 | ValLoss 0.3297 | IoU 0.5791 | F1 0.7335 | Preds: [0 1]
Ep 083 | TrLoss 0.3177 | ValLoss 0.3246 | IoU 0.5733 | F1 0.7288 | Preds: [0 1]
Ep 084 | TrLoss 0.3048 | ValLoss 0.3111 | IoU 0.5888 | F1 0.7412 | Preds: [0 1]
Ep 085 | TrLoss 0.3013 | ValLoss 0.3137 | IoU 0.6039 | F1 0.7530 | Preds: [0 1]
Ep 086 | TrLoss 0.2891 | ValLoss 0.3385 | IoU 0.5836 | F1 0.7370 | Preds: [0 1]
Ep 087 | TrLoss 0.2899 | ValLoss 0.3371 | IoU 0.5797 | F1 0.7339 | Preds: [0 1]
Ep 088 | TrLoss 0.2881 | ValLoss 0.3244 | IoU 0.5948 | F1 0.7459 | Preds: [0 1]
Ep 089 | TrLoss 0.2893 | ValLoss 0.3386 | IoU 0.5968 | F1 0.7475 | Preds: [0 1]
Ep 090 | TrLoss 0.3030 | ValLoss 0.3347 | IoU 0.5772 | F1 0.7320 | Preds: [0 1]
Ep 091 | TrLoss 0.3484 | ValLoss 0.3064 | IoU 0.6144 | F1 0.7611 | Preds: [0 1]
Ep 092 | TrLoss 0.3053 | ValLoss 0.3049 | IoU 0.6117 | F1 0.7591 | Preds: [0 1]
Ep 093 | TrLoss 0.2915 | ValLoss 0.2903 | IoU 0.6212 | F1 0.7663 | Preds: [0 1]
Ep 094 | TrLoss 0.2811 | ValLoss 0.3064 | IoU 0.6118 | F1 0.7592 | Preds: [0 1]
Ep 095 | TrLoss 0.2864 | ValLoss 0.2937 | IoU 0.6129 | F1 0.7600 | Preds: [0 1]
⏹ Early stopping triggered.
